#Gene	TotalClinvarVariants	PLpMissense	BenignMissense	PLpNullVariants	PLpNonNullVariants
CYP11B2:1585|LOC110673971:110673971	1	0	0	0	0
OR7D2:162998	14	0	14	0	0
NMBR:4829	20	0	17	0	0
KIF4B:285643	29	0	28	0	0
CEND1:51286	11	0	11	0	0
POLR1C:9533	174	10	79	12	12
RNF207:388591	27	0	25	1	0
ITGA1:3672|PELO:53918	8	0	8	0	0
FYB1:2533	51	0	6	2	0
SLC40A1:30061	200	32	65	1	35
SETMAR:6419|SUMF1:285362	15	0	15	0	0
CALCA:796	5	0	3	0	0
COQ6:51004	59	0	27	4	0
ACTR8:93973	15	0	13	0	0
C2orf69:205327	12	0	6	6	0
SLCO6A1:133482	19	0	15	0	0
CREB5:9586	6	0	5	0	0
CDA:978	5	0	3	0	0
PGD:5226	11	0	9	0	0
HEBP2:23593	8	0	7	0	0
MEIS3:56917	23	0	22	0	0
LRRC4B:94030	7	0	7	0	0
MT-TL1:4567	37	0	0	0	13
TUBAL3:79861	17	0	14	0	0
ARL17A:51326|LRRC37A2:474170	32	0	30	0	0
DENND1B:163486	16	0	13	0	0
HES4:57801	13	0	13	0	0
ZNF862:643641	36	1	34	0	1
CAPN5:726	518	4	249	0	4
OR12D3:81797	9	0	9	0	0
ARID2:196528	238	2	105	72	6
GRAP2:9402	10	0	7	0	0
LAMB3:3914|MIR4260:100422894	3	0	0	2	0
SYCP3:50511|CHPT1:56994	7	0	1	0	0
KDELR2:11014	14	3	5	2	3
TAFA5:25817	1	0	0	0	0
FCHO2:115548	11	0	9	0	0
SLC4A9:83697	33	0	28	0	0
AP5Z1:9907	944	0	329	27	7
CDC20:991	18	0	17	0	0
NUDT7:283927|LOC112486208:112486208	1	0	0	0	0
APEX2:27301	11	0	6	0	0
ODF2L:57489	19	0	18	0	0
C1orf43:25912	1	0	1	0	0
JMY:133746	16	0	13	0	0
SLC24A4:123041	76	2	21	3	2
FCGRT:2217	11	0	8	0	0
CYP2R1:120227	118	1	60	9	1
HM13:81502|HM13-AS1:100874042	3	0	3	0	0
KIT:3815	2361	35	1076	50	45
IQCF1:132141	7	0	7	0	0
MIPEP:4285|PCOTH:542767	15	0	6	0	0
HOXB2:3212	11	0	11	0	0
IRF6:3664	276	33	69	42	37
ARMC2:84071|ARMC2-AS1:101929716	1	0	0	1	0
SF3A3:10946	6	0	5	0	0
IFNLR1:163702	15	0	12	0	0
ASB13:79754	4	0	4	0	0
ASB9:140462	5	0	5	0	0
RGS3:5998	42	0	41	0	0
TRIM43:129868	6	0	5	0	0
MAST1:22983|LOC112543452:112543452	43	0	26	0	0
TMEM221:100130519	9	0	9	0	0
TREX1:11277|ATRIP:84126|ATRIP-TREX1:111822955	387	5	210	38	6
OR5P3:120066	8	0	8	0	0
STK38L:23012	6	0	4	0	0
LGALS9C:654346	6	0	6	0	0
ZNF345:25850	13	0	12	0	0
HGH1:51236	1	0	1	0	0
GRAMD4:23151	24	0	24	0	0
PLXNA2:5362	371	1	177	0	1
TOP2A:7153	41	0	28	0	0
EIF4A1:1973|SENP3-EIF4A1:100533955	4	0	1	0	0
SPRY3:10251	2	0	1	0	0
SPRR3:6707	11	0	8	0	0
OPRM1:4988	465	0	69	0	0
BRIP1:83990	4657	5	2323	446	41
SOX8:30812	26	0	19	0	0
STARD8:9754	22	0	19	0	0
ELF4:2000	20	3	12	1	3
FLRT2:23768	18	0	17	0	0
PAFAH1B1:5048	420	34	82	92	53
PKNOX2:63876	10	0	9	0	0
SEC22A:26984	5	0	4	0	0
EGLN1:54583	762	3	322	1	4
ATL2:64225	17	0	14	0	0
AGMO:392636	48	0	34	0	1
SEPTIN7:989	1	0	0	0	0
PFKL:5211	28	0	23	0	0
PEX7:5191	514	7	137	60	11
ASB6:140459	17	0	17	0	0
OPTN:10133	292	1	91	22	5
SPDYE3:441272	31	0	31	0	0
PARP12:64761	18	0	16	0	0
MAP1B:4131	171	2	105	13	2
TSPEAR:54084|KRTAP10-4:386672	14	0	13	0	0
SPATA31D4:389761	11	0	11	0	0
HHATL:57467	19	0	19	0	0
BORCS5:118426	8	0	7	1	0
SPINK13:153218|FBXO38-DT:102546294	6	0	6	0	0
SYNE1:23345	5268	3	2549	226	19
NKX2-1:7080|SFTA3:253970|NKX2-1-AS1:100506237	6	0	3	1	0
VEZF1:7716	11	0	8	0	0
UIMC1:51720	23	0	19	1	0
RPS19:6223|MIR6797:102465478	4	0	0	0	0
F11R:50848	8	0	7	0	0
UTP20:27340	72	0	57	0	0
ANAPC15:25906|LRTOMT:220074|TOMT:120356740	71	0	41	3	0
PPP4R3A:55671	1	0	1	0	0
UNC45A:55898|RCCD1-AS1:116435297	65	1	27	1	1
EIF2S3:1968	42	7	16	0	7
ZNF804B:219578	45	0	38	0	0
LOC100506422:100506422	1	0	0	0	0
TTLL2:83887	17	0	17	0	0
TRIM39:56658|TRIM39-RPP21:202658	4	0	4	0	0
NUP153:9972|NUP153-AS1:105374952	1	0	1	0	0
NAGPA:51172	37	0	28	0	0
CDO1:1036	5	0	5	0	0
FOXP1:27086|LOC121009679:121009679	1	0	0	0	0
DNAJB11:51726	91	2	19	9	3
RNASE11-AS1:254028|RNASE12:493901	3	0	3	0	0
RPL3L:6123	40	6	31	0	6
MT1A:4489	2	0	2	0	0
PRAC2:360205	1	0	1	0	0
SFRP4:6424	91	2	44	6	2
POLR3D:661	10	0	10	0	0
PUS3:83480	1	0	0	0	0
DHX57:90957	32	0	30	0	0
PCDH15:65217|LOC105378311:105378311	44	0	6	2	0
CCDC169:728591|CCDC169-SOHLH2:100526761	2	0	2	0	0
GPNMB:10457	47	0	27	10	0
CPLANE1:65250	1859	14	853	154	26
ZNF311:282890	12	0	12	0	0
CDK16:5127	20	0	11	0	0
GINM1:116254	7	0	7	0	0
FGF9:2254	139	4	7	0	4
PREPL:9581	522	0	249	29	3
TMX2:51075|TMX2-CTNND1:100528016	20	3	9	3	5
SNX21:90203	11	0	11	0	0
POLR2C:5432|LOC112469008:112469008	1	1	0	0	1
ZBTB18:10472	157	20	58	33	22
FEV:54738	10	0	8	0	0
VSTM2L:128434	6	0	6	0	0
RGS8:85397	6	0	6	0	0
PSMA2:5683	1	0	0	0	0
MRE11:4361|ANKRD49:54851	5	0	3	0	0
NANOS2:339345	6	0	6	0	0
IL17F:112744	113	0	63	0	0
GEMIN6:79833	5	0	5	0	0
NUDT16:131870	6	0	5	0	0
RESF1:55196	3	0	2	0	0
CXorf38:159013	3	0	2	0	0
DNAH8:1769	1295	1	557	48	2
AFDN:4301	13	0	11	0	0
TCTN3:26123	438	5	178	34	4
IGFBP1:3484	9	2	7	0	2
NCBP2:22916	1	0	1	0	0
PRR32:100130613	4	0	4	0	0
PODXL2:50512	17	0	17	0	0
CCT5:22948	259	1	74	0	1
MAP3K2:10746	10	0	7	0	0
DLGAP2:9228|LOC106783493:106783493	2	0	2	0	0
DBH:1621|DBH-AS1:138948	60	0	24	0	0
PRTN3:5657	9	0	6	0	0
HTR3D:200909	17	0	15	0	0
LHX5:64211	8	0	7	0	0
CHRNA7:1139	68	0	23	1	0
METTL2A:339175	8	0	8	0	0
TMEM134:80194	8	0	8	0	0
GOLGA6L6:727832	36	0	36	0	0
AK4:205	4	0	4	0	0
ZNF765:91661|ZNF765-ZNF761:110116772	10	0	10	0	0
FCGR2B:2213	15	0	10	0	0
PCDHGB3:56102|PCDHGB2:56103|PCDHGB1:56104|PCDHGA6:56109|PCDHGA5:56110|PCDHGA4:56111|PCDHGA3:56112|PCDHGA2:56113|PCDHGA1:56114|PCDHG@:56115	25	0	25	0	0
SRSF11:9295	4	0	4	0	0
RNF17:56163	40	0	37	0	0
CREB1:1385|METTL21A:151194	1	0	0	0	0
TIMM8B:26521	2	0	2	0	0
ZSWIM3:140831	15	0	15	0	0
TEKT2:27285	16	0	12	0	0
IL11RA:3590	71	7	23	6	8
LIG4:3981	506	12	304	24	13
SERAC1:84947|GTF2H5:404672	1	0	0	0	0
IRAK1:3654	23	0	18	0	0
ZFAND2B:130617	10	0	10	0	0
PSEN1:5663	469	100	150	10	104
RNF157:114804	11	0	9	0	0
IMPACT:55364	5	0	5	0	0
THAP8:199745|LOC101927572:101927572	9	0	8	0	0
NT5C:30833	10	0	10	0	0
ITPKA:3706	11	0	10	0	0
HIGD1A:25994	4	0	4	0	0
KPNA1:3836	2	0	2	0	0
ESRRB:2103	216	5	72	8	6
BHLHA9:727857	39	4	19	0	4
MIS18BP1:55320	33	0	28	0	0
DMPK:1760	25	0	11	0	0
ZSWIM6:57688	585	1	245	0	1
PDZD8:118987	24	0	21	2	0
GPC6:10082	229	0	58	1	0
SIAH2:6478|SIAH2-AS1:105374155	6	0	6	0	0
SOWAHD:347454	7	0	7	0	0
ARHGEF15:22899	471	0	269	1	0
SLC1A3:6507	223	2	95	0	2
TBC1D23:55773	61	0	28	11	0
KIF13A:63971	39	0	32	0	0
MUC2:4583	5	0	0	0	4
SERHL2:253190	10	0	9	0	0
TBC1D24:57465	819	26	304	46	29
GALK2:2585|FAM227B:196951	2	0	2	0	0
FHOD1:29109	33	0	30	0	0
RNF13:11342	154	2	82	4	2
GALR1:2587	11	0	11	0	0
OR7G3:390883	3	0	3	0	0
ZCCHC9:84240|ACOT12:134526	2	0	2	0	0
NAA20:51126	5	2	3	0	2
ATP8B1:5205|ATP8B1-AS1:100505549	236	4	50	12	5
NAT10:55226	35	0	24	0	0
TPM1:7168|LOC100128979:100128979|TPM1-AS:111064646	34	0	10	0	0
SLC2A2:6514	247	6	71	24	7
PNLDC1:154197	16	4	7	2	5
PDCD2:5134	12	0	10	0	0
HERC6:55008	35	0	31	0	0
NUCKS1:64710	4	0	2	0	0
RPL27:6155	27	0	8	1	0
SLC17A8:246213	226	2	75	2	2
GNPTG:84572	692	5	198	73	10
OR52B4:143496	12	0	11	0	0
RBM44:375316	27	0	25	0	0
RNF217:154214	5	0	5	0	0
ADRA2A:150	17	0	11	0	0
ITGB3BP:23421|EFCAB7:84455	2	0	2	0	0
ARHGEF39:84904|CCDC107:203260|LOC124252634:124252634	1	0	0	0	0
DAP3:7818|YY1AP1:55249	19	0	11	3	0
AFF4:27125	312	4	156	0	4
PHF3:23469	53	0	47	0	0
BACH2:60468	293	1	169	0	1
ZNF3:7551|ZSCAN21:7589	5	0	5	0	0
LAG3:3902	29	0	28	0	0
COX4I1:1327	7	2	3	0	2
TUBB2A:7280	218	22	66	0	22
CHD8:57680|SNORD9:692053	1	0	0	0	0
FGF11:2256	6	0	4	0	0
LAIR2:3904	6	0	6	0	0
SOX17:64321	82	1	43	2	1
CHST9:83539|AQP4-AS1:147429	7	0	6	0	0
KRTAP19-3:337970	2	0	2	0	0
TXLNA:200081	14	0	12	0	0
TAF6:6878	49	1	8	3	1
NPEPPS:9520	18	0	11	0	0
GAP43:2596	8	0	6	0	0
SSR2:6746	4	0	4	0	0
FGF4:2249	7	0	6	0	0
DIABLO:56616|B3GNT4:79369	20	0	4	0	0
NEUROD6:63974	4	0	4	0	0
ABHD17C:58489	7	0	7	0	0
NME3:4832	6	0	4	0	0
